Identifikationsnr	Typ av objekt	Objekt	Alternativt nummer-Institutionsintern katalog/lista	Titel	Motiv-beskrivning	Avbildade - orter	Namn-Fotograf	Motiv-klassifikation-SAB	Motiv-ämnesord	Referens-Arkivreferenser	Rättigheter
TEKA0116889	Foto	Skioptikonbild med motiv från Hamburg. Ölcafé och hotell Pilsner hof", tobaksbutik, cigarrbutik, bageri och konditori samt parfymeri. Bilden har förvarats i kartong märkt: Resan 1906. Hamburg 9."	SKC2524	Hotell Pilsner Hof vid Gänsemarkt, Hamburg	Skioptikonbild med motiv från Hamburg. Ölcafé och hotell Pilsner hof", tobaksbutik, cigarrbutik, bageri och konditori samt parfymeri.  Bilden har förvarats i kartong märkt: Resan 1906. Hamburg 9."	Hamburg (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	cigarren, handelsgata, konditori, parfymeri, plisnerhof, stadsbild, tobaksbutik, ölcafé	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116893	Foto	Skioptikonbild med motiv från gata i Hamburg, i källaren ligger en ullhandel. Bilden har förvarats i kartong märkt: Resan 1906. Hamburg 9.	SKC2528	Gatuhörn vid Steckelhörn och Bei den Mühren i Hamburg	Skioptikonbild med motiv från gata i Hamburg, i källaren ligger en ullhandel.  Bilden har förvarats i kartong märkt: Resan 1906. Hamburg 9.	Hamburg (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	gata, handelsbod, stadsbild, ullhandel	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116896	Foto	Skioptikonbild med motiv av arbete med  lastade pråmar på kanal i Hamburg. Bilden har förvarats i kartong märkt: Resan 1906. Hamburg 9.	SKC2531	Pråmar på kanal i Hamburg	Skioptikonbild med motiv av arbete med  lastade pråmar på kanal i Hamburg.  Bilden har förvarats i kartong märkt: Resan 1906. Hamburg 9.	Hamburg (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	bro, grus, kanal, lastbåt, pråm, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116900	Foto	Skioptikonbild med motiv av stadsmursporten Kniepertor i Stralsund. Bilden har förvarats i kartong märkt: Resan 1912. Stalsund. 9. Text på bild: Kniepertor.""	SKC2535	Kniepertor i Stralsund	Skioptikonbild med motiv av stadsmursporten Kniepertor i Stralsund.  Bilden har förvarats i kartong märkt: Resan 1912. Stalsund. 9. Text på bild: Kniepertor.""	Stalsund, DE (Tyskland)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	kniepertor, ok, stadsbild, stadsmursport, valvport	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116902	Foto	Skioptikonbild med motiv från utsidan av stadsmursporten Küter-Tor i Stralsund. Bilden har förvarats i kartong märkt: Resan 1912. Stalsund. 9. Text på bild: Kultertor. Yttre sidan XV års"."	SKC2537	Kütertor i Stralsund	Skioptikonbild med motiv från utsidan av stadsmursporten Küter-Tor i Stralsund.  Bilden har förvarats i kartong märkt: Resan 1912. Stalsund. 9. Text på bild: Kultertor. Yttre sidan XV års"."	Stalsund, DE (Tyskland)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	küter-tor, stadmursport, stadsbild, torn, valvport	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116903	Foto	Skioptikonbild med motiv från Kleimschmiat strasse" i Stralsund. I bakgrunden syns St. Nikolai Kirche. Bilden har förvarats i kartong märkt: Resan 1912. Stalsund. 9. Text på bild: "Kleimschmiat stra"	SKC2538	Kleinschmiedstrasse i Stralsund	Skioptikonbild med motiv från Kleimschmiat strasse" i Stralsund. I bakgrunden syns St. Nikolai Kirche.  Bilden har förvarats i kartong märkt: Resan 1912. Stalsund. 9. Text på bild: "Kleimschmiat strasse"."	Stalsund, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	kirche, kleimschmiat, kyrka, nikolai, stadsbild, strasse	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116904	Foto	Skioptikonbild med motiv från gata i Stralsund med kyrkan St. Jakobi Kirche i bakgrunden. Bilden har förvarats i kartong märkt: Resan 1912. Stalsund. 9. Text på bild: Jacobikirche"."	SKC2539	S:t Jacobikyrkan i Stralsund	Skioptikonbild med motiv från gata i Stralsund med kyrkan St. Jakobi Kirche i bakgrunden.  Bilden har förvarats i kartong märkt: Resan 1912. Stalsund. 9. Text på bild: Jacobikirche"."	Stalsund, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	jakobi, kirche, kyrka, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116905	Foto	Skioptikonbild med motiv från Kleimschmiat strasse" i Stralsund. I bakgrunden syns St. Nikolai Kirche. Bilden har förvarats i kartong märkt: Resan 1912. Stalsund. 9. Text på bild: "Kleimschmiat stra"	SKC2540	Nikolaikirche i Stralsund	Skioptikonbild med motiv från Kleimschmiat strasse" i Stralsund. I bakgrunden syns St. Nikolai Kirche.  Bilden har förvarats i kartong märkt: Resan 1912. Stalsund. 9. Text på bild: "Kleimschmiat strasse. St.Nikolai"."	Stalsund, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	kirche, kleimschmiat, kyrka, nikolai, stadsbild, strasse	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116921	Foto	Skioptikonbild med motiv av tre små pojkar i folkvimmel på torg i Lüneburg. Bilden har förvarats i kartong märkt: Resan 1906. Lüneburg 8.	SKC2556	Einhornapotheke vid Am Sande i Lüneburg	Skioptikonbild med motiv av tre små pojkar i folkvimmel på torg i Lüneburg.  Bilden har förvarats i kartong märkt: Resan 1906. Lüneburg 8.	Lüneburg, DE (Tyskland)	Curman, Sigurd		barn, pojke, stadsbild, torg	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116924	Foto	Skioptikonbild med motiv från gata i Lüneburg. Bilden har förvarats i kartong märkt: Resan 1906. Lüneburg 8.	SKC2559	Gatuvy från Lüneburg	Skioptikonbild med motiv från gata i Lüneburg.  Bilden har förvarats i kartong märkt: Resan 1906. Lüneburg 8.	Lüneburg, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
