Identifikationsnr	Typ av objekt	Objekt	Alternativt nummer-Institutionsintern katalog/lista	Titel	Motiv-beskrivning	Avbildade - orter	Namn-Fotograf	Motiv-klassifikation-SAB	Motiv-ämnesord	Referens-Arkivreferenser	Rättigheter
TEKA0118396	Foto	Skioptikonbild med motiv av marknadsstånd längs gata i Tübingen. Bilden har förvarats i kartong märkt: Resan 1908. Tübingen 7. V.	SKC4031	Marknadsstånd i Tübingen	Skioptikonbild med motiv av marknadsstånd längs gata i Tübingen.  Bilden har förvarats i kartong märkt: Resan 1908. Tübingen 7. V.	Tübingen, DE,   (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	gata, marknadsstång, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118402	Foto	Skioptikonbild med motiv av vy över Diez med borgen.  Bilden har förvarats i kartong märkt: Resan 1908. Amberg. XXX. Text på bild: Dietz"."	SKC4037	Borgen i Diez	Skioptikonbild med motiv av vy över Diez med borgen.    Bilden har förvarats i kartong märkt: Resan 1908. Amberg. XXX. Text på bild: Dietz"."	Diez, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	kirche, kyrka, peter, stadsbild, vy	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118403	Foto	Skioptikonbild med motiv från Diez med den medeltida borgen. Bilden har förvarats i kartong märkt: Resan 1908. Amberg. XXX. Text på bild: Dietz"."	SKC4038	Den medeltida borgen i Diez	Skioptikonbild med motiv från Diez med den medeltida borgen.  Bilden har förvarats i kartong märkt: Resan 1908. Amberg. XXX. Text på bild: Dietz"."	Diez, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	dranien, hotel, kirche, kyrka, peter, stadsbild, vy	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118405	Foto	Skioptikonbild med motiv från Limburg an der Lahn med Limburger Dom på höjden. Bilden har förvarats i kartong märkt: Resan 1908. Amberg. XXX.	SKC4040	Domen i Limburg an der Lahn	Skioptikonbild med motiv från Limburg an der Lahn med Limburger Dom på höjden.  Bilden har förvarats i kartong märkt: Resan 1908. Amberg. XXX.	Limburg an der Lahn, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	dom, katedral, kyrka, limburger, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118428	Foto	Skioptikonbild med motiv av Église Saint-Pierre i Caen. Bilden har förvarats i kartong märkt: Resan 1908. Caen 8. X. Text på bild: Egl. St. Pierre"."	SKC4063	Église Saint-Pierre i Caen	Skioptikonbild med motiv av Église Saint-Pierre i Caen.  Bilden har förvarats i kartong märkt: Resan 1908. Caen 8. X. Text på bild: Egl. St. Pierre"."	Caen, FR (Frankrike)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	katedral, kyrka, l'église, saint-pierre	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118431	Foto	Skioptikonbild med motiv av gatustenläggare vid järnvägsräls i Caen. I bakgrunden syns Église de la Trinité. Bilden har förvarats i kartong märkt: Resan 1908. Caen 8. X. Text på bild: L' Egli St. Tr"	SKC4066	Église de la Trinité i Caen	Skioptikonbild med motiv av gatustenläggare vid järnvägsräls i Caen. I bakgrunden syns Église de la Trinité.  Bilden har förvarats i kartong märkt: Resan 1908. Caen 8. X. Text på bild: L' Egli St. Trinité"."	Caen, FR (Frankrike)	Curman, Sigurd		arbetare, de, gatusten, järnvägsräls, kyrka, la, sainte, trinité, église	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118441	Foto	Skioptikonbild med motiv från gatan Rue Latière i Bayeux med katedralen i bakgrunden. Bilden har förvarats i kartong märkt: Resan 1908. Bayeux 8. XI.	SKC4076	Rue Latière i Bayeux	Skioptikonbild med motiv från gatan Rue Latière i Bayeux med katedralen i bakgrunden.  Bilden har förvarats i kartong märkt: Resan 1908. Bayeux 8. XI.	Bayeux, FR (Frankrike)	Curman, Sigurd	Arkitektur<Ic>	handelsgata, katedral, kvinna, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118444	Foto	Skioptikonbild med motiv från gränd i Bayeux med katedralen i bakgrunden. Bilden har förvarats i kartong märkt: Resan 1908. Bayeux 8. XI.	SKC4079	Katedralen i Bayeux	Skioptikonbild med motiv från gränd i Bayeux med katedralen i bakgrunden.  Bilden har förvarats i kartong märkt: Resan 1908. Bayeux 8. XI.	Bayeux, FR (Frankrike)	Curman, Sigurd	Arkitektur<Ic>	gata, gränd, katedral, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118445	Foto	Skioptikonbild med motiv från gatan Rue de Cuisiners i Bayeux med katedralen i bakgrunden. Bilden har förvarats i kartong märkt: Resan 1908. Bayeux 8. XI.	SKC4080	Rue de Cuisiners i Bayeux	Skioptikonbild med motiv från gatan Rue de Cuisiners i Bayeux med katedralen i bakgrunden.  Bilden har förvarats i kartong märkt: Resan 1908. Bayeux 8. XI.	Bayeux, FR (Frankrike)	Curman, Sigurd	Arkitektur<Ic>	gata, gränd, katedral, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118446	Foto	Skioptikonbild med motiv av katedralen i Bayeux, sett från Rue de Nesmond. Bilden har förvarats i kartong märkt: Resan 1908. Bayeux 8. XI. Text på bild: Cathedral"."	SKC4081	Katedralen i Bayeux från Rue de Nesmond	Skioptikonbild med motiv av katedralen i Bayeux, sett från Rue de Nesmond.  Bilden har förvarats i kartong märkt: Resan 1908. Bayeux 8. XI. Text på bild: Cathedral"."	Bayeux, FR (Frankrike)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	exteriör, katedral, kyrka	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118448	Foto	Skioptikonbild med motiv från Caen med Église Saint-Sauveur. Bilden har förvarats i kartong märkt: Resan 1908. Bayeux 8. XI. Text på bild: Egl. St. Sauveur"."	SKC4083	Église Saint-Sauveur i Caen	Skioptikonbild med motiv från Caen med Église Saint-Sauveur.  Bilden har förvarats i kartong märkt: Resan 1908. Bayeux 8. XI. Text på bild: Egl. St. Sauveur"."	Caen, FR (Frankrike)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	handelsgata, katedral, kyrka, saint-sauveur, stadsbild, église	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118453	Foto	Skioptikonbild med motiv vy från stranden av floden Main över Aschaffenburg med slottet Johannisburg i centrum. Bilden har förvarats i kartong märkt: Resan 1908. Aschaffenburg 7. XXVIII.	SKC4088	Johannisburg vid floden Main	Skioptikonbild med motiv vy från stranden av floden Main över Aschaffenburg med slottet Johannisburg i centrum.  Bilden har förvarats i kartong märkt: Resan 1908. Aschaffenburg 7. XXVIII.	Aschaffenburg (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	flod, johannisburg, main, slott, stadsbild, vy	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118466	Foto	Skioptikonbild med motiv av tornet Tour de l'Horloge i Dinan, sett från Rue de l'Horloge.  Bilden har förvarats i kartong märkt: Resan 1908. Dinan 7. XV	SKC4101	Tour de l'Horloge i Dinan	Skioptikonbild med motiv av tornet Tour de l'Horloge i Dinan, sett från Rue de l'Horloge.    Bilden har förvarats i kartong märkt: Resan 1908. Dinan 7. XV	Dinan, FR (Frankrike)	Curman, Sigurd	Arkitektur<Ic>	gata, hus, stadsbild, torn	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118482	Foto	Skioptikonbild med motiv av marknad på torget framför rådhuset. Bilden har förvarats i kartong märkt: Resan 1908. Heilbronn 7. XXII.	SKC4117	Marknad i Heilbronn	Skioptikonbild med motiv av marknad på torget framför rådhuset.  Bilden har förvarats i kartong märkt: Resan 1908. Heilbronn 7. XXII.	Heilbronn, DE,   (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	kvinna, man, marknadsplats, marknadsstånd, rathaus, rådhus, torg	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118483	Foto	Skioptikonbild med motiv av brygga mellan två hus i Deutschhof, Heibronn. Bilden har förvarats i kartong märkt: Resan 1908. Heilbronn 7. XXII.	SKC4118	Deutschhof i Heilbronn	Skioptikonbild med motiv av brygga mellan två hus i Deutschhof, Heibronn.  Bilden har förvarats i kartong märkt: Resan 1908. Heilbronn 7. XXII.	Heilbronn, DE,   (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	brygga, hus, stadsbild, valv	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118497	Foto	Skioptikonbild med motiv från Donaueschingen. Bilden har förvarats i kartong märkt: Resan 1908. Donaueschingen 7. XV.  En stor del av staden förstördes i en brand 1908.	SKC4132	Motiv från Donaueschingen	Skioptikonbild med motiv från Donaueschingen.  Bilden har förvarats i kartong märkt: Resan 1908. Donaueschingen 7. XV.    En stor del av staden förstördes i en brand 1908.	Donaueschingen, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	mur, stadsbild, valvport	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118498	Foto	Skioptikonbild med motiv från Donaueschingen. Bilden har förvarats i kartong märkt: Resan 1908. Donaueschingen 7. XV.  En stor del av staden förstördes i en brand 1908.	SKC4133	Torgmotiv från Donaueschingen	Skioptikonbild med motiv från Donaueschingen.  Bilden har förvarats i kartong märkt: Resan 1908. Donaueschingen 7. XV.    En stor del av staden förstördes i en brand 1908.	Donaueschingen, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	kärra, stadsbild, torg	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118501	Foto	Skioptikonbild med motiv från Wimpfen. Bilden har förvarats i kartong märkt: Resan 1908. Wimpfen 8. XXIV.. Text på bild: Das Hospital zum Heiligen Geist"."	SKC4136	Das Hospital zum Heiligen Geist, bad Wimpfen	Skioptikonbild med motiv från Wimpfen.  Bilden har förvarats i kartong märkt: Resan 1908. Wimpfen 8. XXIV.. Text på bild: Das Hospital zum Heiligen Geist"."	Wimpfen, DE (Tyskland)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	gästhus, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118509	Foto	Skioptikonbild med motiv av Bureau des Finances, Rouen. Bilden har förvarats i kartong märkt: Resan 1908. Rouen 7. VI. Text på bild: Buraau des Finances"."	SKC4144	Bureau des Finances i Rouen	Skioptikonbild med motiv av Bureau des Finances, Rouen.  Bilden har förvarats i kartong märkt: Resan 1908. Rouen 7. VI. Text på bild: Buraau des Finances"."	Rouen, FR,   (Frankrike)	Curman, Sigurd	Arkitektur<Ic>	buraau, des, finances, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118519	Foto	Skioptikonbild med motiv från handelsgata i Rouen. Bilden har förvarats i kartong märkt: Resan 1908. Rouen 7. II.	SKC4154	Marknad i Rouen	Skioptikonbild med motiv från handelsgata i Rouen.  Bilden har förvarats i kartong märkt: Resan 1908. Rouen 7. II.	Rouen, FR,   (Frankrike)	Curman, Sigurd	Arkitektur<Ic>	handelsgata, marknadsstånd, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118520	Foto	Skioptikonbild med motiv från Rouen. Bilden har förvarats i kartong märkt: Resan 1908. Rouen 7. II.	SKC4155	Motiv från Rouen	Skioptikonbild med motiv från Rouen.  Bilden har förvarats i kartong märkt: Resan 1908. Rouen 7. II.	Rouen, FR,   (Frankrike)	Curman, Sigurd	Arkitektur<Ic>	stadsbild, tornhus	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118523	Foto	Skioptikonbild med motiv från Horb. Hus vid floden Neckar. Bilden har förvarats i kartong märkt: Resan 1908. Horb 3. Herrenberg 4. IX.	SKC4158	Hus vid floden Neckar	Skioptikonbild med motiv från Horb. Hus vid floden Neckar.  Bilden har förvarats i kartong märkt: Resan 1908. Horb 3. Herrenberg 4. IX.	Horb am Neckar, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	flod, hus, neckar, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118525	Foto	Skioptikonbild med motiv från Herrenberg. Bilden har förvarats i kartong märkt: Resan 1908. Horb 3. Herrenberg 4. IX.	SKC4160	Gatuvy mot Stiftskirche	Skioptikonbild med motiv från Herrenberg.  Bilden har förvarats i kartong märkt: Resan 1908. Horb 3. Herrenberg 4. IX.	Herrenberg, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118528	Foto	Skioptikonbild med motiv från Horb am Neckar. Luziferturm med stadsport. Bilden har förvarats i kartong märkt: Resan 1908. Horb 3. Herrenberg 4. IX.	SKC4163	Luziferturm i Horb am Neckar	Skioptikonbild med motiv från Horb am Neckar. Luziferturm med stadsport.  Bilden har förvarats i kartong märkt: Resan 1908. Horb 3. Herrenberg 4. IX.	Horb am Neckar, DE (Tyskland)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	man, stadsbild, stadsmur, valvport	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118529	Foto	Skioptikonbild med motiv från Rue Eugène Dutuit i Rouen med katedralen Notre Dame i bakgrunden. Bilden har förvarats i kartong märkt: Resan 1908. Rouen 7. V.	SKC4164	Rue Eugène Dutuit i Rouen	Skioptikonbild med motiv från Rue Eugène Dutuit i Rouen med katedralen Notre Dame i bakgrunden.  Bilden har förvarats i kartong märkt: Resan 1908. Rouen 7. V.	Rouen, FR,   (Frankrike)	Curman, Sigurd	Arkitektur<Ic>	dame, katedral, kyrka, notre, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118541	Foto	Skioptikonbild med motiv från torget i Erfurt. Marknadsplats. Bilden har förvarats i kartong märkt: Resan 1908. Erfurt 8. 16. Text på bild: Torglif"."	SKC4176	Marknad i Erfurt	Skioptikonbild med motiv från torget i Erfurt. Marknadsplats.  Bilden har förvarats i kartong märkt: Resan 1908. Erfurt 8. 16. Text på bild: Torglif"."	Erfurt, DE,   (Tyskland)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	kvinna, man, marknadsplats, stadsbild, torgförsäljning	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118544	Foto	Skioptikonbild med motiv från Erfurt med katedralen Marienkirche och Severikirche. Bilden har förvarats i kartong märkt: Resan 1908. Erfurt 8. 16	SKC4179	Motiv från Domplatz i Erfurt	Skioptikonbild med motiv från Erfurt med katedralen Marienkirche och Severikirche.  Bilden har förvarats i kartong märkt: Resan 1908. Erfurt 8. 16	Erfurt, DE,   (Tyskland)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	katedral, kirche, kyrka, mary, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118545	Foto	Skioptikonbild med motiv från utanför murarna till Goslar. Bilden har förvarats i kartong märkt: Resan 1907.Goslar3. Halberstadt 5. 8.. Text på bild: Utanför Gosslar"."	SKC4180	Utanför Goslar	Skioptikonbild med motiv från utanför murarna till Goslar.  Bilden har förvarats i kartong märkt: Resan 1907.Goslar3. Halberstadt 5. 8.. Text på bild: Utanför Gosslar"."	Goslar, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	stadsmur, vägarbeta	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118547	Foto	Skioptikonbild med motiv av rådhuset i Halberstadt. Bilden har förvarats i kartong märkt: Resan 1907.Goslar3. Halberstadt 5. 8. Text på bild: Rathaus"."	SKC4182	Rådhuset i Halberstadt	Skioptikonbild med motiv av rådhuset i Halberstadt.  Bilden har förvarats i kartong märkt: Resan 1907.Goslar3. Halberstadt 5. 8. Text på bild: Rathaus"."	Halberstadt, DE,   (Tyskland)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	rathaus, rådhus, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118548	Foto	Skioptikonbild med motiv från gata vid Fischmarkt i Halberstadt, mot kyrkan St Martini. Bilden har förvarats i kartong märkt: Resan 1907.Goslar3. Halberstadt 5. 8.	SKC4183	Gatumotiv från Halberstadt	Skioptikonbild med motiv från gata vid Fischmarkt i Halberstadt, mot kyrkan St Martini.  Bilden har förvarats i kartong märkt: Resan 1907.Goslar3. Halberstadt 5. 8.	Halberstadt, DE,   (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	gata, gränd, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118552	Foto	Skioptikonbild med motiv från rådhuset i Halberstadt. Bilden har förvarats i kartong märkt: Resan 1907. Goslar3. Halberstadt 5. 8.	SKC4187	Rådhuset i Halberstadt	Skioptikonbild med motiv från rådhuset i Halberstadt.  Bilden har förvarats i kartong märkt: Resan 1907. Goslar3. Halberstadt 5. 8.	Halberstadt, DE,   (Tyskland)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	rathaus, rådhus, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118555	Foto	Skioptikonbild med motiv från Vichy. Kvinna och man med åsna och vagn. Bilden har förvarats i kartong märkt: ?	SKC4190	Gatumotiv från Vichy	Skioptikonbild med motiv från Vichy. Kvinna och man med åsna och vagn.  Bilden har förvarats i kartong märkt: ?	Vichy, FR (Frankrike)	Curman, Sigurd	Arkitektur<Ic>	kvinna, kärra, man, stadsbild, vagn, åsna	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118558	Foto	Skioptikonbild med motiv från Vichy. Bilden har förvarats i kartong märkt: ?	SKC4193	Motiv från Vichy	Skioptikonbild med motiv från Vichy.  Bilden har förvarats i kartong märkt: ?	Vichy, FR (Frankrike)	Curman, Sigurd	Arkitektur<Ic>	stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118563	Foto	Skioptikonbild med motiv av tvätt på tork på gård i Vichy. Bilden har förvarats i kartong märkt: Thiers	SKC4198	Tvätt på tork, Vichy	Skioptikonbild med motiv av tvätt på tork på gård i Vichy.  Bilden har förvarats i kartong märkt: Thiers	Vichy, FR (Frankrike)	Curman, Sigurd	Arkitektur<Ic>	hus, stadsbild, tvättlina	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118564	Foto	Skioptikonbild med motiv av vy över Vichy. Bilden har förvarats i kartong märkt: Thiers	SKC4199	Vy över Vichy	Skioptikonbild med motiv av vy över Vichy.  Bilden har förvarats i kartong märkt: Thiers	Vichy, FR (Frankrike)	Curman, Sigurd	Arkitektur<Ic>	stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118565	Foto	Skioptikonbild med motiv från gränd i Vichy. Bilden har förvarats i kartong märkt: Thiers	SKC4200	Gränd i Vichy	Skioptikonbild med motiv från gränd i Vichy.  Bilden har förvarats i kartong märkt: Thiers	Vichy, FR (Frankrike)	Curman, Sigurd	Arkitektur<Ic>	gata, gränd, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118577	Foto	Skioptikonbild med motiv från gata Köpenhamn.	SKC4212	Gata i Köpenhamn	Skioptikonbild med motiv från gata Köpenhamn.	Köpenhamn (Danmark (DK))	Curman, Sigurd	Arkitektur<Ic>	gata, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118579	Foto	Skioptikonbild med vy mot St Petri Kirke i Köpenhamn.	SKC4214	St Petri Kirke i Köpenhamn	Skioptikonbild med vy mot St Petri Kirke i Köpenhamn.	Köpenhamn (Danmark (DK))	Curman, Sigurd	Arkitektur<Ic>	gata, hus, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118585	Foto	Skioptikonbild med motiv från Paris. Quai des nations vid världsutställningen Exposition Universelle, 1900. Bilden har förvarats i kartong märkt: ?	SKC4220	Quai des nations	Skioptikonbild med motiv från Paris. Quai des nations vid världsutställningen Exposition Universelle, 1900.  Bilden har förvarats i kartong märkt: ?	Paris (Frankrike (FR))	Curman, Sigurd	Arkitektur<Ic>	flod, seine, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118587	Foto	Skioptikonbild med motiv från Paris, världsutställning Exposition Universelle, 1900. Den tyska fyren, le Phare Allemand. Bilden har förvarats i kartong märkt: ?	SKC4222	Den tyska fyren	Skioptikonbild med motiv från Paris, världsutställning Exposition Universelle, 1900. Den tyska fyren, le Phare Allemand.  Bilden har förvarats i kartong märkt: ?	Paris (Frankrike (FR))	Curman, Sigurd	Arkitektur<Ic>	exposition, fyr, kvinna, man, stadsbild, torn, universelle	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118588	Foto	Skioptikonbild med motiv av Château d'Eau, Champ de Mars, Paris, vid världsutställning Exposition Universelle, 1900. Bilden har förvarats i kartong märkt: ?	SKC4223	Château d'Eau, Champ de Mars	Skioptikonbild med motiv av Château d'Eau, Champ de Mars, Paris, vid världsutställning Exposition Universelle, 1900.  Bilden har förvarats i kartong märkt: ?	Paris (Frankrike (FR))	Curman, Sigurd	Arkitektur<Ic>	champ, château, d'eau, de, exposition, mars, stadsbild, universelle, världsutställning	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118590	Foto	Skioptikonbild med motiv från Paris. Vy från pont d'Iléna vid världsutställningen Exposition Universelle, 1900. Bilden har förvarats i kartong märkt: ?	SKC4225	Vy från pont d'Iléna	Skioptikonbild med motiv från Paris. Vy från pont d'Iléna vid världsutställningen Exposition Universelle, 1900.  Bilden har förvarats i kartong märkt: ?	Paris (Frankrike (FR))	Curman, Sigurd	Arkitektur<Ic>	exposition, stadsbild, universelle, världsutställning	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118591	Foto	Skioptikonbild med motiv från Paris. Brittiska kolonierna, framför Palais du Trocadéro vid världsutställning Exposition Universelle, 1900. Bilden har förvarats i kartong märkt: ?	SKC4226	Brittiska kolonierna	Skioptikonbild med motiv från Paris. Brittiska kolonierna, framför Palais du Trocadéro vid världsutställning Exposition Universelle, 1900.  Bilden har förvarats i kartong märkt: ?	Paris (Frankrike (FR))	Curman, Sigurd	Arkitektur<Ic>	exposition, kvinna, man, stadsbild, universelle, världsutställning	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118592	Foto	Skioptikonbild med motiv från Paris. Esplanade des Invalides vid världsutställningen Exposition Universelle, 1900. Bilden har förvarats i kartong märkt: ?	SKC4227	Esplanade des Invalides	Skioptikonbild med motiv från Paris. Esplanade des Invalides vid världsutställningen Exposition Universelle, 1900.  Bilden har förvarats i kartong märkt: ?	Paris (Frankrike (FR))	Curman, Sigurd	Arkitektur<Ic>	exposition, stadsbild, universelle, världsutställning	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118593	Foto	Skioptikonbild med motiv vid Eiffeltornet, Paris. Från världsutställning Exposition Universelle, 1900. Bilden har förvarats i kartong märkt: ?	SKC4228	Vy från Eiffeltornet	Skioptikonbild med motiv vid Eiffeltornet, Paris. Från världsutställning Exposition Universelle, 1900.  Bilden har förvarats i kartong märkt: ?	Paris (Frankrike (FR))	Curman, Sigurd	Arkitektur<Ic>	eiffeltornet, exposition, stadsbild, universelle, världsutställning	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118594	Foto	Skioptikonbild med motiv från Paris. Quai des Nations vid världsutställningen Exposition Universelle, 1900. Bilden har förvarats i kartong märkt: ?	SKC4229	Quai des Nations	Skioptikonbild med motiv från Paris. Quai des Nations vid världsutställningen Exposition Universelle, 1900.  Bilden har förvarats i kartong märkt: ?	Paris (Frankrike (FR))	Curman, Sigurd	Arkitektur<Ic>	bro, exposition, flod, seine, stadsbild, universelle, världsutställning	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118595	Foto	Skioptikonbild med motiv från Paris. Palais d'Invalide från Pont Alexandre III vid världsutställning Exposition Universelle, 1900. Bilden har förvarats i kartong märkt: ?	SKC4230	Pont Alexandre III	Skioptikonbild med motiv från Paris. Palais d'Invalide från Pont Alexandre III vid världsutställning Exposition Universelle, 1900.  Bilden har förvarats i kartong märkt: ?	Paris (Frankrike (FR))	Curman, Sigurd	Arkitektur<Ic>	bro, exposition, flod, seine, stadsbild, universelle, världsutställning	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118596	Foto	Skioptikonbild med motiv från Paris. Pont Alexandre III mot Grand Palais vid världsutställningen Exposition Universelle, 1900. Bilden har förvarats i kartong märkt: ?	SKC4231	Pont Alexandre III vers Grand Palais	Skioptikonbild med motiv från Paris. Pont Alexandre III mot Grand Palais vid världsutställningen Exposition Universelle, 1900.  Bilden har förvarats i kartong märkt: ?	Paris (Frankrike (FR))	Curman, Sigurd	Arkitektur<Ic>	bro, exposition, flod, seine, stadsbild, universelle, världsutställning	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0118597	Foto	Skioptikonbild med motiv från Paris. Port Sevres vid världsutställning Exposition Universelle, 1900. Bilden har förvarats i kartong märkt: ?	SKC4232	Port Sevres	Skioptikonbild med motiv från Paris. Port Sevres vid världsutställning Exposition Universelle, 1900.  Bilden har förvarats i kartong märkt: ?	Paris (Frankrike (FR))	Curman, Sigurd	Arkitektur<Ic>	exposition, stadsbild, universelle, världsutställning	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
